ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0009101,glycoprotein biosynthetic process,41/783,322/18986,0.12732919254658384,3.087448339322402,7.835306800519108,1.4214343315332907e-10,2.5860419976613546e-07,2.472422676764437e-07,POMT1/STT3B/TMTC3/HS6ST1/B3GAT2/GXYLT1/MAN1B1/GFPT1/GCNT1/UBE2J1/B3GALT6/BMPR1B/ST3GAL6/TET3/TMTC4/PGM3/C1GALT1C1/ALG8/GALNT7/MGAT4A/MGAT1/OST4/SERP1/DSE/GALNT2/DERL3/MAN1C1/B3GALNT2/TMTC2/FKRP/TM9SF2/CWH43/GALNT1/MAN1A2/SOAT1/DPM3/ITM2B/ALG1/NECAB3/GOLPH3/DDOST,41
GO:0006486,protein glycosylation,33/783,223/18986,0.14798206278026907,3.58823428345618,8.063425448710866,1.8156157250138226e-10,2.5860419976613546e-07,2.472422676764437e-07,POMT1/STT3B/TMTC3/B3GAT2/GXYLT1/MAN1B1/GFPT1/GCNT1/UBE2J1/B3GALT6/ST3GAL6/TET3/TMTC4/PGM3/C1GALT1C1/ALG8/GALNT7/MGAT4A/MGAT1/OST4/SERP1/GALNT2/DERL3/MAN1C1/B3GALNT2/TMTC2/FKRP/CWH43/GALNT1/MAN1A2/DPM3/ALG1/DDOST,33
GO:0043413,macromolecule glycosylation,33/783,223/18986,0.14798206278026907,3.58823428345618,8.063425448710866,1.8156157250138226e-10,2.5860419976613546e-07,2.472422676764437e-07,POMT1/STT3B/TMTC3/B3GAT2/GXYLT1/MAN1B1/GFPT1/GCNT1/UBE2J1/B3GALT6/ST3GAL6/TET3/TMTC4/PGM3/C1GALT1C1/ALG8/GALNT7/MGAT4A/MGAT1/OST4/SERP1/GALNT2/DERL3/MAN1C1/B3GALNT2/TMTC2/FKRP/CWH43/GALNT1/MAN1A2/DPM3/ALG1/DDOST,33
GO:0140053,mitochondrial gene expression,28/783,169/18986,0.16568047337278108,4.017381184489938,8.171711676282603,3.112254923586325e-10,3.324666322121092e-07,3.1785950943259284e-07,MRPS17/PNPT1/MRPL30/MRPL35/WARS2/MRPL15/MTIF3/MRPL37/MRPL10/MRPL36/MRPS7/MRPS34/ANGEL2/MRPS10/MRPL54/DAP3/LRPPRC/TFB2M/MRPS15/MRPS22/MRPL18/MRPS9/MRPL45/MRPL41/MRPS25/SLC25A33/MRPS30/CHCHD1,28
GO:0070085,glycosylation,34/783,242/18986,0.14049586776859505,3.4067107860211308,7.814751036249889,3.981535702573047e-10,3.402620411418926e-07,3.253124223512841e-07,POMT1/STT3B/TMTC3/B3GAT2/GXYLT1/MAN1B1/GFPT1/GCNT1/UBE2J1/B3GALT6/ST3GAL6/TET3/TMTC4/PGM3/C1GALT1C1/ALG8/GALNT7/MGAT4A/MGAT1/OST4/SERP1/GALNT2/DERL3/MAN1C1/B3GALNT2/TMTC2/FKRP/CWH43/GALNT1/MAN1A2/DPM3/GBA2/ALG1/DDOST,34
GO:0009100,glycoprotein metabolic process,45/783,392/18986,0.11479591836734694,2.7835444522636643,7.400401038048682,5.574804316944829e-10,3.970189807717542e-07,3.7957571147478735e-07,POMT1/STT3B/TMTC3/HS6ST1/NGLY1/B3GAT2/ENGASE/GXYLT1/MAN1B1/GFPT1/GANAB/GCNT1/UBE2J1/B3GALT6/TRIM13/BMPR1B/ST3GAL6/TET3/TMTC4/PGM3/C1GALT1C1/ALG8/GALNT7/MGAT4A/MGAT1/OST4/SERP1/DSE/GALNT2/DERL3/MAN1C1/B3GALNT2/TMTC2/FKRP/TM9SF2/CWH43/GALNT1/MAN1A2/SOAT1/DPM3/ITM2B/ALG1/NECAB3/GOLPH3/DDOST,45
GO:0032543,mitochondrial translation,24/783,131/18986,0.183206106870229,4.442338627124097,8.199562241229687,7.036369350761777e-10,4.295200890829296e-07,4.1064886391438286e-07,MRPS17/MRPL30/MRPL35/WARS2/MRPL15/MTIF3/MRPL37/MRPL10/MRPL36/MRPS7/MRPS34/MRPS10/MRPL54/DAP3/LRPPRC/MRPS15/MRPS22/MRPL18/MRPS9/MRPL45/MRPL41/MRPS25/MRPS30/CHCHD1,24
GO:0016236,macroautophagy,43/783,372/18986,0.11559139784946236,2.8028330518134004,7.283193087993785,1.0943731872609082e-09,5.845320786457326e-07,5.588503078631033e-07,ZNRF2/POLDIP2/TBK1/PIK3C3/SCOC/UFM1/TIMM23/MAP1LC3A/STAM2/CHMP5/TRIM13/SNX14/EI24/VTI1B/SPTLC2/MAP1LC3B/USP36/PEX2/DNM1L/PDCD6IP/CDK5RAP3/ABI2/CHMP4A/VPS37A/UFC1/NBR1/ARL8B/VTA1/RNF213/CSNK2A1/SNF8/MCOLN1/CHMP4C/USP30/WAC/EXOC8/VAMP8/FZD5/VPS13C/PLAA/LGALS8/ATG2B/ATG3,43
GO:0034976,response to endoplasmic reticulum stress,35/783,277/18986,0.1263537906137184,3.0637970224675066,7.1762287821015285,3.926618565285787e-09,1.778332458675881e-06,1.7002003454053221e-06,DNAJC10/STT3B/TMTC3/BFAR/DNAJC3/VAPB/PARP8/MAN1B1/BCL2L1/ERP27/UBE2J1/UFM1/RNF121/PDIA3/PPP1R15B/TRIM13/TMTC4/SEL1L/CANX/RHBDD1/TMX1/CDK5RAP3/SERP1/UFC1/BBS1/TMEM33/MBTPS2/ATXN3/DERL3/MAN1C1/TXNDC12/MAN1A2/TMBIM4/CCDC47/RNF7,35
GO:0072594,establishment of protein localization to organelle,48/783,462/18986,0.1038961038961039,2.5192483123517606,6.856414448403341,4.161789044408802e-09,1.778332458675881e-06,1.7002003454053221e-06,RPL23/LMAN1/MFF/SEC63/PIK3C3/LAMP1/UBL5/FIS1/NUP155/SAE1/RAB11A/SGTB/APPL2/UFM1/ZFAND6/TIMM23/TIMM17A/FAM53C/STAM2/VPS11/LONP2/NF1/SEC61A2/NUP107/RAB10/PPP3CA/USP36/UBE2L3/TIMM8B/PEX2/VPS13A/CHMP4A/SEC62/VPS37A/TSPAN17/SPCS3/DNAJC19/RGPD4/FERMT1/SNF8/TXNIP/NUP188/CWH43/UBL4A/NUP54/FZD5/VPS13C/GOLPH3,48
