Solution 1,Solution 2,Cluster 1,Cluster 2,Jaccard Similarity
0,1,1,2,0.3173076923076923
0,1,3,0,0.21739130434782608
0,1,2,1,0.21428571428571427
0,1,0,3,0.13636363636363635
0,2,1,0,0.6956521739130435
0,2,0,2,0.23076923076923078
0,2,2,1,0.19047619047619047
0,2,3,3,0.07142857142857142
0,3,1,3,0.5982142857142857
0,3,3,2,0.16129032258064516
0,3,0,0,0.15384615384615385
0,3,2,1,0.05
0,4,1,1,0.4722222222222222
0,4,2,3,0.45454545454545453
0,4,3,0,0.4166666666666667
0,4,0,2,0.07407407407407407
0,5,1,2,0.5862068965517241
0,5,0,0,0.16666666666666666
0,5,3,1,0.16666666666666666
0,5,2,3,0.04
0,6,1,3,0.5855855855855856
0,6,3,2,0.42105263157894735
0,6,0,0,0.13043478260869565
0,6,2,1,0.08823529411764706
0,7,1,1,0.5603448275862069
0,7,3,2,0.16666666666666666
0,7,0,0,0.15
0,7,2,3,0.0625
0,8,1,1,0.4339622641509434
0,8,2,2,0.4
0,8,3,3,0.35714285714285715
0,8,0,0,0.09090909090909091
0,9,3,3,0.7
0,9,1,2,0.6
0,9,2,1,0.3181818181818182
0,9,0,0,0.125
0,10,1,0,0.6146788990825688
0,10,3,3,0.5833333333333334
0,10,2,1,0.4074074074074074
0,10,0,2,0.17857142857142858
0,11,1,1,0.46846846846846846
0,11,2,2,0.45454545454545453
0,11,3,3,0.3333333333333333
0,11,0,0,0.1
0,12,1,1,0.49523809523809526
0,12,2,3,0.4230769230769231
0,12,3,2,0.25
0,12,0,0,0.11764705882352941
0,13,1,0,0.4864864864864865
0,13,3,1,0.3076923076923077
0,13,2,3,0.2222222222222222
0,13,0,2,0.10714285714285714
0,14,3,2,0.5454545454545454
0,14,1,3,0.5130434782608696
0,14,2,0,0.21052631578947367
0,14,0,1,0.061224489795918366
0,15,1,0,0.5765765765765766
0,15,3,3,0.45454545454545453
0,15,2,1,0.4074074074074074
0,15,0,2,0.15625
0,16,1,1,0.48672566371681414
0,16,3,0,0.45454545454545453
0,16,2,3,0.11320754716981132
0,16,0,2,0.0
0,17,1,3,0.39622641509433965
0,17,3,0,0.38461538461538464
0,17,2,2,0.2903225806451613
0,17,0,1,0.1320754716981132
0,18,1,1,0.4056603773584906
0,18,2,3,0.36
0,18,3,0,0.25
0,18,0,2,0.08620689655172414
0,19,1,1,0.49523809523809526
0,19,2,3,0.4782608695652174
0,19,3,0,0.38461538461538464
0,19,0,2,0.11764705882352941
0,20,1,3,0.5132743362831859
0,20,3,0,0.38461538461538464
0,20,2,2,0.19047619047619047
0,20,0,1,0.061224489795918366
0,21,1,2,0.4519230769230769
0,21,2,3,0.38461538461538464
0,21,3,1,0.35714285714285715
0,21,0,0,0.1111111111111111
0,22,3,0,0.6
0,22,1,3,0.43636363636363634
0,22,2,2,0.20689655172413793
0,22,0,1,0.09615384615384616
0,23,1,0,0.4864864864864865
0,23,3,1,0.3076923076923077
0,23,2,3,0.2222222222222222
