Solution 1,Solution 2,Cluster 1,Cluster 2,Jaccard Similarity
0,1,2,0,0.244
0,1,1,3,0.18877551020408162
0,1,0,1,0.18859649122807018
0,1,3,2,0.04519774011299435
0,2,0,1,0.48026315789473684
0,2,2,3,0.26359832635983266
0,2,1,2,0.23469387755102042
0,2,3,0,0.11594202898550725
0,3,2,2,0.2584745762711864
0,3,1,1,0.2584745762711864
0,3,0,0,0.1774891774891775
0,3,3,3,0.11666666666666667
0,4,0,0,0.6351351351351351
0,4,1,3,0.35
0,4,2,2,0.30677290836653387
0,4,3,1,0.059602649006622516
0,5,0,3,0.673202614379085
0,5,1,1,0.30412371134020616
0,5,2,2,0.28761061946902655
0,5,3,0,0.06951871657754011
0,6,0,0,0.6258503401360545
0,6,1,1,0.3452914798206278
0,6,2,3,0.34497816593886466
0,6,3,2,0.0625
0,7,0,2,0.5855263157894737
0,7,1,1,0.2694300518134715
0,7,2,3,0.2689075630252101
0,7,3,0,0.11578947368421053
0,8,0,1,0.5228758169934641
0,8,2,0,0.30833333333333335
0,8,1,3,0.22099447513812154
0,8,3,2,0.11004784688995216
0,9,0,3,0.5228758169934641
0,9,2,1,0.30833333333333335
0,9,1,0,0.22099447513812154
0,9,3,2,0.11004784688995216
0,10,0,2,0.48344370860927155
0,10,2,1,0.2625
0,10,1,3,0.23469387755102042
0,10,3,0,0.11594202898550725
0,11,0,3,0.6535947712418301
0,11,2,1,0.4375
0,11,1,0,0.33157894736842103
0,11,3,2,0.1780821917808219
0,12,0,2,0.6493506493506493
0,12,2,0,0.36607142857142855
0,12,1,3,0.32124352331606215
0,12,3,1,0.17088607594936708
0,13,0,3,0.7931034482758621
0,13,1,1,0.6257309941520468
0,13,2,0,0.5531914893617021
0,13,3,2,0.25925925925925924
0,14,2,1,0.26382978723404255
0,14,1,3,0.26046511627906976
0,14,0,0,0.1799163179916318
0,14,3,2,0.056338028169014086
0,15,2,0,0.25390625
0,15,3,3,0.21904761904761905
0,15,1,1,0.21559633027522937
0,15,0,2,0.211864406779661
0,16,0,1,0.6493506493506493
0,16,2,2,0.36160714285714285
0,16,1,0,0.31958762886597936
0,16,3,3,0.17088607594936708
0,17,0,3,0.5855263157894737
0,17,1,1,0.2755102040816326
0,17,2,2,0.26495726495726496
0,17,3,0,0.12105263157894737
0,18,0,2,0.577639751552795
0,18,2,3,0.2669491525423729
0,18,1,1,0.2631578947368421
0,18,3,0,0.11290322580645161
0,19,0,3,0.5855263157894737
0,19,1,2,0.2755102040816326
0,19,2,1,0.26495726495726496
0,19,3,0,0.12105263157894737
0,20,0,1,0.6688311688311688
0,20,2,3,0.49732620320855614
0,20,1,0,0.37628865979381443
0,20,3,2,0.225
0,21,0,2,0.6774193548387096
0,21,2,3,0.4772727272727273
0,21,1,1,0.3559322033898305
0,21,3,0,0.22377622377622378
0,22,2,3,0.2689393939393939
0,22,0,1,0.1991869918699187
0,22,1,0,0.17277486910994763
0,22,3,2,0.08955223880597014
0,23,2,1,0.244
0,23,1,2,0.18877551020408162
0,23,0,0,0.18859649122807018
0,23,3,3,0.04519774011299435
0,24,0,2,0.6602564102564102
0,24,2,3,0.4482758620689655
0,24,1,1,0.3411764705882353
0,24,3,0,0.19594594594594594
0,25,0,3,0.6580645161290323
0,25,2,2,0.39903846153846156
0,25,1,1,0.3386243386243386
0,25,3,0,0.20606060606060606
0,26,0,1,0.6193548387096774
0,26,2,3,0.4074074074074074
0,26,1,0,0.27
0,26,3,2,0.033783783783783786
0,27,2,1,0.2768595041322314
0,27,1,3,0.25675675675675674
0,27,0,2,0.1752136752136752
0,27,3,0,0.0703125
0,28,0,1,0.6772151898734177
0,28,2,0,0.4700460829493088
0,28,1,3,0.367816091954023
0,28,3,2,0.2361111111111111
0,29,0,0,0.6556291390728477
0,29,2,1,0.4423076923076923
0,29,1,3,0.38011695906432746
0,29,3,2,0.2441860465116279
0,30,0,2,0.6770186335403726
0,30,2,1,0.35348837209302325
0,30,1,0,0.2961165048543689
0,30,3,3,0.09554140127388536
0,31,0,2,0.6606060606060606
0,31,2,1,0.28634361233480177
0,31,1,3,0.24311926605504589
0,31,3,0,0.05161290322580645
0,32,0,3,0.6987951807228916
0,32,2,2,0.49740932642487046
0,32,1,0,0.3
0,32,3,1,0.2111801242236025
0,33,0,0,0.6923076923076923
0,33,1,2,0.4504950495049505
0,33,2,3,0.3803680981595092
0,33,3,1,0.30538922155688625
0,34,0,0,0.6081081081081081
0,34,1,1,0.296137339055794
0,34,2,3,0.2653061224489796
0,34,3,2,0.041666666666666664
0,35,0,1,0.5974025974025974
0,35,2,0,0.3392070484581498
0,35,1,2,0.2962962962962963
0,35,3,3,0.08974358974358974
0,36,0,0,0.6933333333333334
0,36,2,2,0.5104166666666666
0,36,1,3,0.3473684210526316
0,36,3,1,0.20481927710843373
0,37,2,3,0.25
0,37,3,1,0.21904761904761905
0,37,1,2,0.21559633027522937
0,37,0,0,0.2109704641350211
0,38,2,3,0.25301204819277107
0,38,1,0,0.2471264367816092
0,38,0,2,0.20168067226890757
0,38,3,1,0.05714285714285714
0,39,0,2,0.7564102564102564
0,39,2,3,0.525
0,39,1,1,0.5133689839572193
0,39,3,0,0.3006535947712418
0,40,0,3,0.6821192052980133
0,40,2,1,0.42924528301886794
0,40,1,2,0.33532934131736525
0,40,3,0,0.26436781609195403
0,41,2,2,0.25301204819277107
0,41,1,3,0.2471264367816092
