Solution 1,Solution 2,Cluster 1,Cluster 2,Jaccard Similarity
0,1,1,2,0.23375870069605567
0,1,2,0,0.21182586094866795
0,1,0,1,0.1527599486521181
0,1,3,3,0.07737512242899118
0,2,0,1,0.49122807017543857
0,2,1,2,0.31525207402680283
0,2,2,3,0.22958827634333567
0,2,3,0,0.15629984051036683
0,3,1,1,0.3564633463905988
0,3,2,2,0.24284717376133985
0,3,0,0,0.16065781151170144
0,3,3,3,0.08439897698209718
0,4,0,0,0.6424581005586593
0,4,1,3,0.40915300546448086
0,4,2,2,0.2505050505050505
0,4,3,1,0.09762773722627738
0,5,0,3,0.6273666092943201
0,5,1,1,0.3264900662251656
0,5,2,0,0.25245098039215685
0,5,3,2,0.15323854660347552
0,6,0,0,0.6271844660194175
0,6,1,1,0.31846414455110106
0,6,2,3,0.2765151515151515
0,6,3,2,0.08561020036429873
0,7,0,2,0.5810313075506446
0,7,1,1,0.3382636655948553
0,7,2,3,0.23125884016973125
0,7,3,0,0.16092943201376936
0,8,0,1,0.5004460303300624
0,8,1,3,0.29411764705882354
0,8,2,0,0.2651356993736952
0,8,3,2,0.13123561013046814
0,9,0,3,0.5004468275245755
0,9,1,0,0.2954699121027721
0,9,2,1,0.26532033426183843
0,9,3,2,0.1310344827586207
0,10,0,2,0.49168207024029575
0,10,1,3,0.31545338441890164
0,10,2,1,0.2301255230125523
0,10,3,0,0.15629984051036683
0,11,0,3,0.6399286987522281
0,11,1,0,0.40161527165932454
0,11,2,1,0.3890142964635064
0,11,3,2,0.20634920634920634
0,12,0,2,0.6310344827586207
0,12,1,3,0.38171667829727846
0,12,2,0,0.30118694362017806
0,12,3,1,0.2032442748091603
0,13,0,3,0.774384236453202
0,13,1,1,0.6425269645608629
0,13,2,0,0.5097001763668431
0,13,3,2,0.2712384851586489
0,14,1,3,0.32186732186732187
0,14,2,1,0.23163841807909605
0,14,0,0,0.1585518102372035
0,14,3,2,0.055762081784386616
0,15,1,1,0.2819058423142371
0,15,3,3,0.2718168812589413
0,15,2,0,0.22243966079582517
0,15,0,2,0.1811272957568081
0,16,0,1,0.6310344827586207
0,16,1,0,0.38091922005571033
0,16,2,2,0.30066815144766146
0,16,3,3,0.20229007633587787
0,17,0,3,0.5869565217391305
0,17,1,1,0.3384126984126984
0,17,2,2,0.2334293948126801
0,17,3,0,0.16234309623430962
0,18,0,2,0.5975286849073257
0,18,1,1,0.33355176933158587
0,18,2,3,0.23088023088023088
0,18,3,0,0.16362053959965187
0,19,0,3,0.5869565217391305
0,19,1,2,0.3386277001270648
0,19,2,1,0.23414985590778098
0,19,3,0,0.16234309623430962
0,20,0,1,0.6704545454545454
0,20,2,3,0.4721435316336166
0,20,1,0,0.4375
