Solution 1,Solution 2,Cluster 1,Cluster 2,rand Similarity
0,1,2,2,0.5627745990391981
0,1,3,1,0.53996864551395
0,1,1,0,0.48963846082933704
0,1,0,3,0.3880539510977796
0,2,0,0,0.5640539378879308
0,2,2,2,0.5592393606536062
0,2,1,3,0.4785573265276641
0,2,3,1,0.4685954547102106
0,3,3,0,0.5467989470440761
0,3,1,2,0.5089729339672601
0,3,0,1,0.4478457863858294
0,3,2,3,0.3234377265477744
0,4,0,2,0.5550195560539328
0,4,3,3,0.5373120205778329
0,4,2,1,0.49718749683162494
0,4,1,0,0.45693383897914214
0,5,0,2,0.5705019060677746
0,5,3,1,0.5209783122056014
0,5,2,0,0.46598139721871973
0,5,1,3,0.4434219084210032
0,6,0,0,0.5674901253665268
0,6,3,3,0.5117497079842751
0,6,2,1,0.4845464427660707
0,6,1,2,0.4069033117624667
0,7,0,3,0.5589322972331358
0,7,2,1,0.557068982606526
0,7,3,0,0.5348961283149505
0,7,1,2,0.4516920721410398
0,8,3,3,0.5901499995151923
0,8,0,2,0.5611782663595403
0,8,1,0,0.47412742158555177
0,8,2,1,0.4683924892462331
0,9,3,0,0.5898348962865092
0,9,0,2,0.5605669137739031
0,9,1,1,0.4745158847936037
0,9,2,3,0.46830953038524703
0,10,0,0,0.5640539378879308
0,10,2,3,0.5599684325164653
0,10,1,1,0.4782163252790025
0,10,3,2,0.468655190392578
0,11,0,1,0.5505839205540896
0,11,3,2,0.5153051655999482
0,11,2,0,0.47053918079708706
0,11,1,3,0.45711831476798026
0,12,2,2,0.5698393311416741
0,12,0,0,0.5610340300449629
0,12,3,1,0.5256133792239711
0,12,1,3,0.4573608598601458
0,13,3,0,0.5134236463062154
0,13,0,1,0.5001707346041927
0,13,1,3,0.4852333912748548
0,13,2,2,0.4306209444945296
0,14,2,2,0.5709091365990716
0,14,3,0,0.527404920260132
0,14,1,1,0.5150709945160812
0,14,0,3,0.4934070362353709
0,15,3,3,0.5565082814712371
0,15,2,1,0.5382843287549471
0,15,0,2,0.4841453739388303
0,15,1,0,0.48264452100651206
0,16,2,1,0.5698393311416741
0,16,0,2,0.5611246454227641
0,16,3,3,0.5265632871758895
0,16,1,0,0.4578100990414358
0,17,2,1,0.5561731210300542
0,17,3,0,0.5234753677606407
0,17,1,2,0.47468288522705854
0,17,0,3,0.42830315061319435
0,18,2,1,0.5664125070252752
0,18,0,2,0.5505501259724799
0,18,3,0,0.5358578945767558
0,18,1,3,0.47518573158065347
0,19,2,2,0.5568948993013556
0,19,3,0,0.5234753677606407
0,19,1,1,0.47475049878294767
0,19,0,3,0.42830315061319435
0,20,3,3,0.5793939449239922
0,20,1,2,0.5273683688790557
0,20,0,1,0.5007624871641608
0,20,2,0,0.47163258746356995
0,21,0,3,0.5503414557418306
0,21,3,0,0.5113024231039973
0,21,2,1,0.48115909858164885
0,21,1,2,0.45357086773015975
0,22,1,0,0.5460222572122442
0,22,2,3,0.5388433912484354
0,22,3,1,0.5188401168687126
0,22,0,2,0.35434121410142794
0,23,2,3,0.5629565045207321
0,23,3,0,0.5387177528852681
0,23,1,1,0.4899994572297004
0,23,0,2,0.3880176745797955
0,24,0,3,0.5489586211271901
0,24,1,0,0.5424289879254969
0,24,2,1,0.4771894176812486
0,24,3,2,0.4509792178235611
0,25,2,2,0.5350665688902223
0,25,0,3,0.5157593452572532
0,25,3,0,0.5001123591737073
0,25,1,1,0.44629629033970103
0,26,0,3,0.556201856967278
0,26,1,2,0.5338461523252331
0,26,3,0,0.5060446053033871
0,26,2,1,0.47285367126377514
0,27,3,2,0.548403065478948
0,27,0,0,0.5342406142327456
0,27,1,1,0.5088261703108695
0,27,2,3,0.44699580836326036
0,28,1,0,0.5463915285637484
0,28,3,2,0.5111682687448014
0,28,0,1,0.4927750669312825
0,28,2,3,0.4822634089158005
0,29,2,2,0.5481525001190911
0,29,0,0,0.533925671288602
0,29,1,1,0.5183609763063065
0,29,3,3,0.4633060084944608
0,30,2,3,0.5719803495081477
0,30,1,2,0.5485146186134028
0,30,3,1,0.5309433665115614
0,30,0,0,0.4716814490033971
0,31,2,0,0.5630006085426227
0,31,1,2,0.5483683016205924
0,31,3,3,0.5377395324623813
0,31,0,1,0.4725954495615664
0,32,1,3,0.5487202917785166
0,32,3,2,0.5466134174272331
0,32,2,0,0.4833993591144903
0,32,0,1,0.4731147295720712
0,33,3,3,0.6022443554843875
0,33,2,2,0.5650499377148365
0,33,1,1,0.5465482039175652
0,33,0,0,0.490331370752607
0,34,0,0,0.569962324748317
0,34,1,1,0.49926823767271533
0,34,3,3,0.477544255758653
0,34,2,2,0.4160712836171315
0,35,2,3,0.5769359249674211
0,35,0,1,0.5675441483950365
0,35,1,2,0.5244564998808239
0,35,3,0,0.511431316821206
0,36,3,2,0.5725683677100529
0,36,1,1,0.5317647162499477
0,36,0,0,0.49762758149854924
0,36,2,3,0.46444026243272446
0,37,3,1,0.5565082814712371
0,37,2,2,0.5388759728476528
0,37,0,0,0.4837072000028402
0,37,1,3,0.4829493196191281
0,38,2,1,0.5490735453030093
0,38,3,2,0.51815977205133
0,38,1,3,0.5057426698632838
0,38,0,0,0.400830866807611
0,39,2,3,0.520147989905251
0,39,0,1,0.49238229376939596
0,39,1,2,0.4673624293455783
0,39,3,0,0.43175893020437
0,40,2,0,0.5516066194065566
0,40,0,3,0.5355408853794215
0,40,3,1,0.515672262752779
0,40,1,2,0.4531693218189222
0,41,2,1,0.5515245779974419
0,41,3,0,0.5175292885903818
0,41,1,2,0.5057426698632838
0,41,0,3,0.3997975557838015
0,42,3,2,0.5347800717575637
0,42,0,3,0.5002635740643121
0,42,1,0,0.48493588698761675
0,42,2,1,0.42776018025666984
0,43,3,2,0.5725683677100529
0,43,1,3,0.5316891485124935
0,43,0,1,0.49762758149854924
0,43,2,0,0.4644249386859429
0,44,2,1,0.5523195092526123
