Gene,Frequency
EXOC5,1773
VSIG10,1773
SGIP1,1730
PPFIA2,1721
SMIM8,1692
TTYH1,1689
PCDH19,1681
LRRC8C,1669
GYPB,1665
SLC7A13,1655
ABCB7,1648
MIF4GD,1634
AFF4,1632
JUND,1632
TMF1,1632
ZNF652,1632
ZNF853,1632
ARPP21,1629
ASCL4,1620
ATOH8,1620
BCL11A,1620
BEND5,1620
BPTF,1620
BRD7,1620
CC2D1B,1620
COMMD6,1620
ELF5,1620
ELK4,1620
ETV3L,1620
FOXD3,1620
FOXH1,1620
FOXN3,1620
FUS,1620
HIVEP3,1620
LDB1,1620
MED16,1620
MEIS3,1620
MESP2,1620
MXD4,1620
N4BP2L2,1620
NCOR1,1620
NR2F6,1620
REPIN1,1620
RFX4,1620
SAMD4B,1620
SSBP3,1620
TBX4,1620
TCP10L,1620
THAP7,1620
WWOX,1620
YBX2,1620
ZBTB45,1620
ZNF160,1620
ZNF202,1620
ZNF30,1620
ZNF358,1620
ZNF395,1620
ZNF485,1620
ZNF497,1620
ZNF501,1620
ZNF608,1620
ZNF672,1620
ZNF696,1620
ZNF710,1620
ZNF740,1620
ZNF792,1620
ZNF805,1620
ZNF865,1620
ZSCAN18,1620
CDCA4,1615
GMEB1,1615
LIN54,1615
MYT1,1615
NFE2L3,1615
PCGF2,1615
RFX7,1615
RNF2,1615
RPUSD3,1615
SFMBT2,1615
TCEA2,1615
ZBTB32,1615
ZNF597,1615
STX11,1608
EPB41L4A,1598
ZNF143,1595
ASPM,1587
CHAC2,1586
XG,1584
BRWD3,1581
CHCHD3,1576
ENTREP3,1575
MYOZ1,1574
JAZF1,1569
BCLAF1,1565
CAMTA1,1565
CREBZF,1565
DACH2,1565
DEPDC1,1565
EBF1,1565
FOXI1,1565
GLIS2,1565
GTF2H1,1565
HFM1,1565
KLF12,1565
LCORL,1565
LRRFIP1,1565
MACC1,1565
MBD2,1565
MBNL3,1565
MXI1,1565
NLRP2,1565
NPAS3,1565
NR2F2,1565
RUNX1T1,1565
SAP18,1565
SPIN1,1565
TEAD3,1565
THAP1,1565
TSHZ2,1565
WIZ,1565
ZBTB10,1565
ZEB1,1565
ZFP28,1565
ZFP82,1565
ZNF229,1565
ZNF248,1565
ZNF25,1565
ZNF449,1565
ZNF461,1565
ZNF562,1565
ZNF599,1565
ZNF606,1565
ZNF680,1565
ZNF706,1565
ZNF721,1565
ZNF81,1565
ZNF818P,1565
EIF1,1564
KLF11,1564
MED4,1564
MTA3,1564
VGLL3,1564
WWC2,1564
ZNF711,1564
LHX3,1561
PRDM15,1560
ARID1B,1558
INTS6,1558
ZSCAN22,1554
BBX,1551
CNBP,1551
HNRNPD,1551
MAX,1551
MXD1,1551
NFIA,1551
PKNOX2,1551
PLAGL1,1551
PRRX1,1551
RUNX2,1551
SERTAD3,1551
SUB1,1551
TTC17,1551
ZNF222,1551
ZNF331,1551
ZNF34,1551
ZNF662,1551
ZNF790,1551
ZNF92,1551
NFYB,1550
ABCG8,1549
BAZ2A,1548
DDX20,1548
ELL,1548
GATAD2B,1548
GPBP1,1548
GPBP1L1,1548
GTF2A1,1548
KLF6,1548
L3MBTL2,1548
MED26,1548
MLLT1,1548
MYCBP,1548
MYNN,1548
PCGF5,1548
PHF20L1,1548
POLR1B,1548
PPHLN1,1548
RAI1,1548
RBAK,1548
RPRD1A,1548
RSF1,1548
SOX21,1548
ZBTB2,1548
ZBTB41,1548
ZBTB46,1548
ZBTB9,1548
ZFP1,1548
ZHX1,1548
ZNF138,1548
ZNF182,1548
ZNF260,1548
ZNF37A,1548
ZNF525,1548
ZNF550,1548
ZNF587,1548
ZNF595,1548
ZNF614,1548
ZNF615,1548
ZNF770,1548
ZNF827,1548
ZNF83,1548
ZNF84,1548
ZSCAN16,1548
ASCC1,1547
ATAD2,1547
BTAF1,1547
CCNK,1547
CDX2,1547
CHD6,1547
CREB3L4,1547
DNMT3A,1547
EAF1,1547
GZF1,1547
HCFC2,1547
IRF2BP2,1547
KDM5C,1547
LANCL2,1547
MLLT10,1547
MTDH,1547
NR2C2,1547
PHC3,1547
PHF14,1547
PRR16,1547
RBM23,1547
RCOR3,1547
RFXAP,1547
SCML1,1547
SP4,1547
TCF25,1547
ZBTB33,1547
ZBTB42,1547
ZNF263,1547
ZNF266,1547
ZNF317,1547
ZNF496,1547
ZNF568,1547
ZNF626,1547
ZNF644,1547
ZNF697,1547
ZNF880,1547
ZSCAN30,1547
LIME1,1543
SAMD1,1541
ZNF75A,1538
NR2C2AP,1536
SSU72,1536
FOXG1,1533
ZIC2,1533
ATF7IP,1532
BNC2,1532
ENY2,1532
ETV1,1532
GLYR1,1532
KDM1B,1532
NFX1,1532
PIAS2,1532
RFX3,1532
TRIM33,1532
ZBTB26,1532
ZNF367,1532
ZNF488,1532
ZNF655,1532
ZNF709,1532
ZNF718,1532
ZNF793,1532
DMRT3,1531
DYDC1,1531
FOXP2,1531
MOSPD1,1531
TCF12,1531
ZNF10,1531
IGF2BP2,1530
MEIS3P1,1528
AKAP8L,1526
BRF1,1526
FANK1,1526
FOXA3,1526
INTS1,1526
LSM2,1526
MECOM,1526
MYBBP1A,1526
POLR3A,1526
POU2F2,1526
PPP1R3E,1526
PRPF6,1526
PTPRN,1526
REXO4,1526
WWC3,1526
ZBTB17,1526
ZNF16,1526
DCAF6,1525
HIF3A,1525
PPCS,1525
SP1,1525
ZBTB7A,1525
MDFIC,1523
HOXB9,1522
ARID5B,1521
CELF5,1521
EFHC1,1521
JMJD1C,1521
NRBF2,1521
POLR2D,1521
RBM20,1521
DHX33,1512
PHF19,1512
ZNF462,1512
ZNF552,1512
ZNF641,1512
ZNF654,1512
ZNF678,1512
SPG11,1508
CDK9,1505
SETD5,1505
SMAD9,1505
UACA,1504
IGF2BP1,1501
BRMS1L,1499
MTPAP,1499
CCNL2,1496
JDP2,1496
RBM12,1496
SRCAP,1496
THRAP3,1496
ZFP41,1496
ZNF155,1496
ZNF224,1496
ZSCAN29,1496
GTF2A2,1493
MLLT6,1493
PAICS,1493
STXBP5,1492
NAA15,1489
EIF4E2,1487
NMD3,1481
TRAF7,1481
ZNF343,1480
ZNF546,1480
BRWD1,1479
HES6,1478
U2AF1,1478
PANK1,1477
PCGF6,1477
PDXK,1477
PRDM5,1477
SFPQ,1477
TAF6L,1477
ZNF107,1477
RRN3P2,1476
BTF3,1475
CRCP,1475
SECISBP2,1475
MRPL11,1471
TRPS1,1471
THRB,1468
BDKRB2,1462
GATAD2A,1462
KCNIP3,1461
CETN1,1459
GTF3C5,1458
HOXC10,1457
ZBED3,1457
DPH3,1454
RGMB,1454
FST,1450
INTS8,1443
STAB2,1442
HMG20A,1439
NXF3,1438
SERTAD1,1438
TXNL4A,1438
BDP1,1436
CSTF3,1436
DNAH14,1436
NAA16,1436
ANKRA2,1435
ATXN1L,1435
EPC1,1435
INTS10,1435
YTHDF3,1435
MPV17L2,1434
ZNF419,1433
ZNF589,1433
ZNF707,1433
AMDHD2,1431
BHLHE41,1429
EBF3,1429
ELL2,1429
ESAM,1429
HINFP,1429
ZBTB47,1429
ZFP14,1429
ZNF19,1429
ZNF425,1429
ZNF883,1429
ZNF93,1429
MTM1,1428
MRPL55,1427
ZFP3,1427
BAZ1A,1426
NFIX,1426
SLC2A4RG,1426
ZNF777,1426
IL21R,1425
PAXIP1,1425
PHF20,1424
SBNO1,1424
IPO9,1423
NOM1,1423
SLC38A1,1421
VPS45,1420
RAB22A,1418
DPF3,1417
ITGBL1,1417
CAPRIN2,1416
INTS7,1414
LYST,1414
CIAO1,1413
DDX21,1413
GABPA,1413
IPPK,1413
POU6F1,1413
TET3,1413
WDR77,1413
NENF,1410
CDK15,1407
PLEKHA3,1407
NEUROD6,1406
MED17,1402
SCRT1,1402
TASP1,1402
TAF10,1400
G3BP2,1398
LEO1,1398
MTF1,1398
ZIC4,1398
NAGS,1397
PCGF3,1397
ZC3H10,1397
ANKRD33,1396
ATF5,1396
CSRNP3,1396
IKZF1,1396
LHX9,1396
NUFIP1,1396
PRMT2,1396
RBM3,1396
SNAPC3,1396
ZNF782,1396
MIER1,1395
NAT14,1395
ZNF676,1395
ZFPM2,1392
SKIC8,1391
PRDM11,1383
ZBTB20,1383
CNTLN,1381
INTS2,1380
OBSCN,1380
KCNMB2,1379
MON1A,1379
SLC15A3,1379
MBD1,1378
POT1,1378
ZNF215,1378
ZNF250,1378
ZNF276,1378
ZNF418,1378
ZNF585A,1378
ZNF594,1378
ZNF605,1378
ZNF613,1378
NAMPT,1377
NCOA1,1377
GPR155,1376
PAX3,1375
DMTF1,1370
ELAVL1,1370
NBEAL1,1369
GATA5,1368
MSL3,1365
KDM4C,1364
ABCA1,1363
SENP1,1361
GPAT2,1360
ARID4B,1359
LMO7,1359
RPRD2,1356
YEATS4,1354
MED13L,1353
SMG5,1351
PODN,1348
HABP4,1346
MLXIPL,1346
RBMXL1,1346
DCAKD,1345
NOL8,1345
GPR21,1344
GRIPAP1,1343
KCMF1,1343
KLF14,1342
ZNF257,1342
ECD,1341
ADH1B,1338
GRAP2,1338
ENTHD1,1337
MCPH1,1335
MED12L,1335
NACC1,1335
ZNF493,1335
PLSCR4,1333
GON4L,1331
USP2,1331
ZNF420,1331
DNAI1,1329
SEPSECS,1329
FECH,1328
ZNF681,1328
CARD8,1327
E2F6,1327
KCNA6,1326
RRN3,1325
BRIP1,1324
SNRPB,1324
BRD3,1321
