Solution 1,Solution 2,Cluster 1,Cluster 2,Similarity,Metric
0,1,3,2,1.0,adjusted_rand
0,1,2,3,1.0,adjusted_rand
0,1,0,0,1.0,adjusted_rand
0,1,1,1,0.28645245916149087,adjusted_rand
0,2,2,2,1.0,adjusted_rand
0,2,0,1,0.7995558023320377,adjusted_rand
0,2,3,3,0.7228426395939086,adjusted_rand
0,2,1,0,-0.10913786014348081,adjusted_rand
0,3,3,0,1.0,adjusted_rand
0,3,1,1,0.8939667880772634,adjusted_rand
0,3,0,2,0.8863694923988663,adjusted_rand
0,3,2,3,0.523037202665131,adjusted_rand
0,4,3,2,1.0,adjusted_rand
0,4,2,0,1.0,adjusted_rand
0,4,0,3,1.0,adjusted_rand
0,4,1,1,-0.014424126276572469,adjusted_rand
0,5,3,3,1.0,adjusted_rand
0,5,0,1,0.8836219294713226,adjusted_rand
0,5,2,0,0.8333858267716535,adjusted_rand
0,5,1,2,-0.09834995859534347,adjusted_rand
0,6,3,0,1.0,adjusted_rand
0,6,0,2,1.0,adjusted_rand
0,6,2,1,0.6687617850408548,adjusted_rand
0,6,1,3,-0.08280753888573376,adjusted_rand
0,7,3,0,1.0,adjusted_rand
0,7,0,2,0.8570708343836653,adjusted_rand
0,7,2,3,0.7580920485766773,adjusted_rand
0,7,1,1,-0.08847423047640211,adjusted_rand
0,8,3,0,1.0,adjusted_rand
0,8,0,2,1.0,adjusted_rand
0,8,2,1,0.935132233824534,adjusted_rand
0,8,1,3,0.758169212496202,adjusted_rand
0,9,3,0,1.0,adjusted_rand
0,9,2,3,1.0,adjusted_rand
0,9,0,1,1.0,adjusted_rand
0,9,1,2,-0.1004454658922029,adjusted_rand
0,10,3,2,1.0,adjusted_rand
0,10,2,3,1.0,adjusted_rand
0,10,0,1,1.0,adjusted_rand
0,10,1,0,-0.08371236300167946,adjusted_rand
0,11,2,3,1.0,adjusted_rand
0,11,0,2,1.0,adjusted_rand
0,11,3,0,0.9101681401284745,adjusted_rand
0,11,1,1,-0.020386883359700923,adjusted_rand
0,12,3,0,1.0,adjusted_rand
0,12,0,2,1.0,adjusted_rand
0,12,2,1,0.937847860863535,adjusted_rand
0,12,1,3,0.7503870847870519,adjusted_rand
0,13,3,2,1.0,adjusted_rand
0,13,2,1,1.0,adjusted_rand
0,13,0,3,1.0,adjusted_rand
0,13,1,0,-0.032481492059407015,adjusted_rand
0,14,3,1,1.0,adjusted_rand
0,14,2,2,1.0,adjusted_rand
0,14,0,0,1.0,adjusted_rand
0,14,1,3,-0.06126963555515834,adjusted_rand
0,15,3,2,1.0,adjusted_rand
0,15,2,3,1.0,adjusted_rand
0,15,0,1,1.0,adjusted_rand
0,15,1,0,-0.07934488296493991,adjusted_rand
0,16,3,3,1.0,adjusted_rand
0,16,0,0,1.0,adjusted_rand
0,16,2,2,0.6933333333333334,adjusted_rand
0,16,1,1,-0.03865680845055803,adjusted_rand
0,17,3,3,1.0,adjusted_rand
0,17,2,1,1.0,adjusted_rand
0,17,0,2,1.0,adjusted_rand
0,17,1,0,0.8278790556711024,adjusted_rand
0,18,3,2,1.0,adjusted_rand
0,18,0,0,1.0,adjusted_rand
0,18,2,1,0.9332461954999534,adjusted_rand
0,18,1,3,0.7242156592142792,adjusted_rand
0,19,3,2,1.0,adjusted_rand
0,19,0,0,1.0,adjusted_rand
0,19,2,1,0.937847860863535,adjusted_rand
0,19,1,3,0.7723707561302275,adjusted_rand
0,20,3,1,1.0,adjusted_rand
0,20,2,0,1.0,adjusted_rand
