Solution 1,Solution 2,Cluster 1,Cluster 2,Similarity,Metric
0,1,1,2,0.9163554891710232,rand
0,1,0,3,0.8255813953488372,rand
0,1,2,1,0.8118466898954704,rand
0,1,3,0,0.7430830039525692,rand
0,2,1,0,0.9533180778032037,rand
0,2,0,2,0.7948717948717948,rand
0,2,2,1,0.6857142857142857,rand
0,2,3,3,0.6190476190476191,rand
0,3,1,3,0.9276061776061776,rand
0,3,3,2,0.7741935483870968,rand
0,3,0,0,0.676923076923077,rand
0,3,2,1,0.631578947368421,rand
0,4,1,2,0.9255041075429425,rand
0,4,0,1,0.8974358974358975,rand
0,4,3,0,0.8484848484848485,rand
0,4,2,3,0.8484848484848485,rand
0,5,1,3,0.946060606060606,rand
0,5,3,2,0.9020544672718586,rand
0,5,0,0,0.6339869281045751,rand
0,5,2,1,0.6333333333333333,rand
0,6,1,3,0.9266175266175266,rand
0,6,3,2,0.8947368421052632,rand
0,6,0,1,0.6505747126436782,rand
0,6,2,0,0.5529100529100529,rand
0,7,1,0,0.9295049504950496,rand
0,7,3,1,0.8991317671092952,rand
0,7,0,3,0.5952380952380952,rand
0,7,2,2,0.5862068965517241,rand
0,8,1,0,0.9179487179487179,rand
0,8,0,1,0.8615819209039548,rand
0,8,2,2,0.8333333333333334,rand
0,8,3,3,0.7802197802197802,rand
0,9,3,3,1.0,rand
0,9,1,0,0.9398019801980197,rand
0,9,0,2,0.9218559218559218,rand
0,9,2,1,0.7575757575757576,rand
0,10,1,0,0.9388379204892966,rand
0,10,3,3,0.9090909090909091,rand
0,10,2,1,0.8632478632478633,rand
0,10,0,2,0.7301587301587301,rand
0,11,1,3,0.9247524752475248,rand
0,11,0,1,0.8792756539235412,rand
0,11,2,2,0.8484848484848485,rand
0,11,3,0,0.7191582002902758,rand
0,12,1,1,0.9340659340659341,rand
0,12,2,3,0.8646153846153846,rand
0,12,0,0,0.8431372549019608,rand
0,12,3,2,0.7878787878787878,rand
0,13,1,1,0.9255445544554456,rand
0,13,0,0,0.8600518326545724,rand
0,13,2,3,0.7843137254901961,rand
0,13,3,2,0.7213114754098361,rand
0,14,0,3,0.9344936708860759,rand
0,14,1,1,0.9291833238149628,rand
0,14,3,2,0.9272727272727272,rand
0,14,2,0,0.7426900584795322,rand
0,15,1,0,0.9243243243243243,rand
0,15,3,3,0.9090909090909091,rand
0,15,2,1,0.8632478632478633,rand
0,15,0,2,0.7459677419354839,rand
0,16,1,2,0.9466666666666667,rand
0,16,3,0,0.9090909090909091,rand
0,16,0,1,0.8859649122807017,rand
0,16,2,3,0.7518142235123367,rand
0,17,1,3,0.9110512129380054,rand
0,17,0,1,0.8780841799709724,rand
0,17,3,0,0.8076923076923077,rand
0,17,2,2,0.7935483870967742,rand
0,18,1,1,0.9126684636118598,rand
0,18,0,2,0.8294010889292196,rand
0,18,2,3,0.8,rand
0,18,3,0,0.7,rand
0,19,1,1,0.9340659340659341,rand
0,19,2,3,0.8735177865612648,rand
0,19,0,2,0.8431372549019608,rand
0,19,3,0,0.8076923076923077,rand
0,20,0,3,0.9323308270676691,rand
0,20,1,1,0.9176624346527259,rand
0,20,3,0,0.8076923076923077,rand
0,20,2,2,0.6857142857142857,rand
0,21,1,2,0.9346527259148618,rand
0,21,0,0,0.8497554157931516,rand
0,21,2,3,0.8307692307692308,rand
0,21,3,1,0.7802197802197802,rand
0,22,3,0,1.0,rand
0,22,1,1,0.9135531135531135,rand
0,22,0,3,0.8717948717948718,rand
0,22,2,2,0.6896551724137931,rand
0,23,1,1,0.9077848961366725,rand
