Solution 1,Cluster 1,Solution 2,Cluster 2,Disjoint Genes
0,0,1,3,"{'IAR3', 'cPGK2', 'ACX1', 'EP3', 'EIF4A1', '4CL1', 'ACT2', 'LAZ5', 'ATR2', 'LOX2', 'EFE', 'CSD1', 'ASA1', 'TSB1', 'GSTU5', 'TBL15', 'AOS', 'SAM-2', 'OPR1', 'LEA14', 'NPR1', 'CYP83B1', 'OMT1', 'HOG1', 'ASB1', 'PAL1', 'FAD7', 'LTI30', 'HSC70-1', 'PSBO1', 'ADAP', 'PER64', 'CAM2', 'NDPK1', 'WRKY11', 'PAL2', 'PLC1', 'TSA1'}"
0,2,2,1,"{'MYB68', 'uL18-L4', 'PLC8', 'AT-P4H-1', 'GPX1', 'UBQ4', 'TGG1', 'AT2G35790', 'LAZ5', 'AT4G16610', 'PLL16', 'CYP71B6', 'PME1', 'AIM1', 'AO1', 'PDF1.2', 'PR1'}"
0,3,2,3,"{'RBCS1B', 'MPK3', 'HCHIB', 'PLL16', 'AIG2', 'PME1', 'CCR1', 'EXO70A3', 'LOX1', 'EP3', 'AO1', 'NDR1', 'LHB1B2', 'RNS2', 'AT-P4H-1', 'TBL9', 'ADA1A', 'PER64', 'ATR2', 'WRKY11', 'MEKK1', 'ICK1', 'PETE1', 'ACS2', 'PDF1.2', 'WIN2'}"
0,3,3,2,"{'HCHIB', 'PLL16', 'CYP71B6', 'PRK', 'AIM1', 'LOX1', 'EP3', 'AT5G06940', 'AO1', 'RNS2', 'AT2G35790', 'PLDALPHA1', 'TBL9', 'ADA1A', 'AT3G15350', 'PER64', 'GS2', 'MFP2', 'ARAB-1', 'ACX2', 'WRKY11', 'PKT3', 'ICK1', 'ABCC2', 'ACS2', 'FAD2'}"
0,0,3,0,"{'MYB68', 'uL18-L4', 'cPGK2', 'SEH', 'GPX2', 'CM1', 'APX1', 'NIA2', 'CAD9', 'EF1alpha', 'ERD5', 'RNS1', 'GSTF6', 'ECS1', 'CAM2', 'ATR2', 'WRKY11', 'ATRABE1B', 'MPPalpha', 'UGT88A1', 'WIN2', 'GSTU19'}"
0,2,3,1,"{'MYB68', 'uL18-L4', 'GPX1', 'UBQ4', 'PLL16', 'ER', 'AT5G06940', 'AO1', 'EF1alpha', 'PLC8', 'TGG2', 'TGG1', 'ARAB-1', 'PER64', 'PLC1', 'ATR2', 'AT4G16610', 'FAD2', 'PR1'}"
0,0,4,2,"{'GER2', 'CM1', 'CCR1', 'NIT2', 'ELI3-1', 'APX1', 'ERD5', 'PLDALPHA1', 'AT2G35790', 'GSTF6', 'LecRK-V.5', 'GS2', 'MFP2', 'FAH1', 'TT4', 'PKT3', 'ROF1', 'ICK1', 'UGT88A1', 'CCOAMT', 'GSTU19', 'uL18-L4', 'SEH', 'GPX2', 'PRK', 'VEP1', 'HPL1', 'CYP71B6', 'CHIA', 'AIM1', 'HMG1', 'NIA2', 'LOX1', 'CAD9', 'OXR2', 'PLDBETA1', 'RNS2', 'EF1alpha', 'AT3G15350', 'RNS1', 'ARAB-1', 'DHS1', 'CAM2', 'NDPK1', 'ATRABE1B', 'MPPalpha', 'ACX2', 'ABCC2', 'FAD2', 'WIN2'}"
0,3,5,1,"{'HCHIB', 'PLL16', 'CYP71B6', 'AIM1', 'LOX1', 'EP3', 'AT5G06940', 'AO1', 'RNS2', 'AT2G35790', 'PLDALPHA1', 'TBL9', 'ADA1A', 'AT3G15350', 'PER64', 'GS2', 'MFP2', 'ARAB-1', 'ACX2', 'WRKY11', 'PKT3', 'ICK1', 'ABCC2', 'ACS2', 'FAD2'}"
0,0,5,0,"{'MYB68', 'EF1alpha', 'ERD5', 'cPGK2', 'GSTF6', 'ECS1', 'CAM2', 'LAZ5', 'WRKY11', 'ATRABE1B', 'PRK', 'VEP1', 'CM1', 'APX1', 'CAD9'}"
0,2,5,3,"{'MYB68', 'GSTU19', 'GPX1', 'UBQ4', 'SEH', 'GPX2', 'PLL16', 'VEP1', 'PME1', 'WIN2', 'NIA2', 'ER', 'AO1', 'PLC8', 'TGG2', 'TGG1', 'ARAB-1', 'LAZ5', 'AT4G16610', 'MPPalpha', 'UGT88A1', 'FAD2', 'RNS1', 'PR1'}"
0,0,6,0,"{'MYB68', 'uL18-L4', 'cPGK2', 'SEH', 'GER2', 'GPX2', 'CM1', 'NIA2', 'ABCC2', 'EF1alpha', 'ERD5', 'GSTF6', 'CAM2', 'LAZ5', 'ATR2', 'WRKY11', 'MPPalpha', 'UGT88A1', 'RNS1', 'GSTU19'}"
0,2,6,1,"{'MYB68', 'uL18-L4', 'GPX1', 'UBQ4', 'GRF7', 'PME1', 'CYP71B6', 'CCR1', 'EXO70A3', 'ER', 'PLDBETA1', 'RNS2', 'PLC8', 'TGG2', 'TGG1', 'AT2G35790', 'AT3G15350', 'ACX2', 'GS2', 'MFP2', 'LAZ5', 'ATR2', 'NDPK1', 'AT4G16610', 'WRKY11', 'PKT3', 'ROF1', 'ICK1', 'FAD2', 'WIN2', 'PR1'}"
0,3,7,2,"{'uL18-L4', 'GER2', 'CYP71B6', 'AIM1', 'AT5G06940', 'EP3', 'AT2G35790', 'PLDALPHA1', 'ADA1A', 'ARAB-1', 'PER64', 'GS2', 'MFP2', 'LAZ5', 'NDPK1', 'ROF1', 'PR4', 'ABCC2', 'ACS2', 'FAD2'}"
0,0,7,0,"{'MYB68', 'EF1alpha', 'ERD5', 'cPGK2', 'GSTF6', 'SEH', 'CAM2', 'LAZ5', 'ATR2', 'WRKY11', 'GPX2', 'MPPalpha', 'CM1', 'NIA2', 'UGT88A1', 'RNS1', 'GSTU19'}"
0,2,7,3,"{'MYB68', 'uL18-L4', 'GPX1', 'UBQ4', 'HCHIB', 'GRF7', 'PME1', 'CCR1', 'EXO70A3', 'LOX1', 'ER', 'ICK1', 'PLDBETA1', 'RNS2', 'PLC8', 'TGG2', 'TGG1', 'AT3G15350', 'ARAB-1', 'TBL9', 'ATR2', 'WRKY11', 'AT4G16610', 'PKT3', 'PR4', 'ACX2', 'PETE1', 'FAD2', 'WIN2', 'PR1'}"
0,0,8,0,"{'MYB68', 'GER2', 'FSD1', 'GRF7', 'CM1', 'CCR1', 'NIT2', 'APX1', 'ELI3-1', 'ERD5', 'AT2G35790', 'GSTF6', 'LecRK-V.5', 'GS2', 'MFP2', 'FAH1', 'TT4', 'PKT3', 'URE', 'ROF1', 'ICK1', 'UGT88A1', 'CCOAMT', 'GSTU19', 'uL18-L4', 'SEH', 'GPX2', 'HPL1', 'CYP71B6', 'WIN2', 'CHIA', 'AIM1', 'HMG1', 'NIA2', 'CAD9', 'OXR2', 'PLDBETA1', 'RNS2', 'EF1alpha', 'AT3G15350', 'ARAB-1', 'DHS1', 'CAM2', 'NDPK1', 'ATRABE1B', 'MPPalpha', 'ACX2', 'ABCC2', 'PLC1', 'RNS1'}"
