"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133"
"1",0,14,7,9,12,5,12,13,4,14,16,5,5,13,10,10,12,12,10,11,8,8,12,8,7,11,10,12,7,5,7,8,8,7,8,7,9,10,11,10,6,10,12,7,6,14,5,4,10,8,7,9,10,7,6,3,11,10,13,11,6,10,6,10,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,4,4,4,4,4,6,3,4,4,5,4,4,4,4,4,4,3,4,4,4,4,9,8,12,4,15,11,19,12,11,6,9,11,5,4,7,3,4,4,4,4,4,9,3,4,3,4,8,3,4,4,4,4,4
"2",14,0,10,9,15,7,12,21,10,9,21,9,9,4,13,16,19,15,19,15,15,14,20,15,13,18,16,19,14,2,12,12,12,13,10,11,12,10,13,10,6,10,12,10,9,8,1,1,12,12,12,11,14,5,7,2,12,13,9,12,7,11,4,13,1,1,1,1,1,1,1,0,1,1,1,0,1,4,1,1,1,1,1,1,8,0,0,1,3,1,1,1,1,1,1,0,1,1,1,1,1,0,2,1,5,3,10,7,6,2,0,4,4,1,2,1,1,1,1,1,1,1,1,1,3,1,1,0,0,1,1,1,1
"3",7,10,0,20,12,17,16,9,20,11,8,19,24,2,4,3,4,4,3,5,4,3,4,4,2,4,3,5,2,1,0,1,1,1,1,0,1,1,2,1,1,1,1,1,0,6,1,1,1,1,0,1,3,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,3,4,5,2,2,2,2,1,14,0,1,1,1,1,1,4,0,0,1,0,5,0,1,1,1,1,1
"4",9,9,20,0,13,13,15,8,18,13,7,15,20,4,2,2,4,3,4,3,3,2,5,3,2,3,2,4,2,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,8,0,0,1,0,0,0,2,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,4,5,5,7,8,2,3,4,0,0,10,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0
"5",12,15,12,13,0,15,16,15,16,10,12,13,12,7,6,6,11,7,9,6,5,4,11,5,4,8,6,9,4,0,2,2,2,4,2,2,2,2,6,2,0,2,3,2,2,6,0,0,3,2,2,3,4,2,0,0,2,3,1,2,4,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,7,7,11,12,0,1,8,2,0,2,0,0,0,0,0,0,2,0,0,2,1,3,1,0,0,0,0,0
"6",5,7,17,13,15,0,14,12,20,11,7,20,17,3,2,4,4,8,3,5,3,4,3,3,5,3,4,8,5,0,3,1,1,1,0,3,1,1,0,1,0,1,0,1,1,3,0,0,0,1,1,3,3,0,1,1,1,1,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,2,8,9,0,1,5,2,0,8,1,0,0,0,0,0,4,1,2,5,3,7,1,0,1,1,0,0
"7",12,12,16,15,16,14,0,15,11,16,11,19,14,7,4,6,6,8,6,5,3,4,8,3,4,6,6,10,5,1,3,1,1,0,1,2,1,1,2,1,1,1,2,1,0,8,1,1,2,1,1,3,3,1,0,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,2,1,1,1,1,1,1,1,0,1,1,1,1,4,2,5,1,5,5,7,13,12,2,2,5,2,1,8,2,1,1,1,1,1,3,2,3,4,3,5,1,0,1,1,1,1
"8",13,21,9,8,15,12,15,0,8,13,20,14,8,5,12,16,16,18,16,14,13,14,16,13,14,16,16,20,15,1,13,11,11,10,8,12,11,9,10,9,6,9,10,9,8,6,1,1,10,11,11,13,13,4,6,2,11,11,9,11,7,12,3,11,1,1,1,1,1,1,1,0,1,1,1,0,1,4,1,1,1,1,1,1,9,0,0,1,3,1,1,1,1,1,1,0,1,1,1,1,1,0,2,1,4,2,9,10,8,1,0,3,3,1,1,2,1,1,1,1,1,1,2,2,6,2,2,1,0,1,1,1,1
"9",4,10,20,18,16,20,11,8,0,7,7,16,22,2,3,2,4,3,4,3,3,2,4,3,2,3,2,4,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,6,0,0,4,0,0,10,0,0,0,0,0,0,2,0,0,1,1,6,0,0,0,0,0,0
"10",14,9,11,13,10,11,16,13,7,0,9,16,9,9,3,6,4,14,4,8,5,6,4,5,6,4,6,10,7,4,7,5,5,4,4,6,4,6,2,7,3,7,5,4,3,5,4,4,3,4,5,9,7,6,2,4,7,6,12,7,8,8,5,7,4,4,4,4,4,4,4,3,4,4,4,3,4,2,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,2,4,4,4,4,8,6,6,4,7,6,9,10,8,6,7,7,5,4,9,5,4,4,4,4,4,8,5,6,9,6,10,3,3,4,4,4,4
